array_n,list,Platform,status
212,"['Teen Nick','Telemundo','The Golf Channel','The Weather Channel','TLC','TNT']",,
213,"['truTV','TV Land','Univision','USA Network','VH1','23andMe']",,
214,"['Amazon Prime','Amazon.com','AncestryDNA','Answers.com','AOL','Apple Music']",,
215,"['Ask.com','AutoTrader.com','Bing','Blue Apron','Bumble','careerbuilder']",,
216,"['Carmax.com','Cars.com','Caviar','Craigslist','Delivery.com','Doordash']",,
217,"['DraftKings','Dropbox','eBay','eHarmony','Eventbrite','Evernote']",,
218,"['Facebook','FanDuel','Flickr','Glassdoor','GoDaddy','GoodRx']",,
219,"['Google','Google Chrome','Google Docs','Google Maps','Google Photos','Google Search']",,
220,"['Groupon','GrubHub.com','Hello Fresh','Hinge','Home Chef','Honey']",,
221,"['iHeartRadio','imdb.com','Indeed','Instagram','iTunes','LinkedIn']",,
222,"['Live Nation','LivingSocial','Match.com','Microsoft OneNote','Monster','MotorTrend.com']",,
223,"['OK Cupid','Pandora','Pinterest','Postmates','Realtor.com','Redbox']",,
224,"['Redfin','Seamless.com','SeatGeek','Shopify','SingleCare','Snapchat']",,
225,"['Spotify','Squarespace','StubHub','Ticketmaster','TikTok','Tinder']",,
226,"['Tumblr','Twitch','Twitter','Uber Eats','Vistaprint','WhatsApp']",,
227,"['Wikipedia','Wix.com','Yahoo','Yelp','YouTube','YouTube Kids']",,
228,"['YouTube Music','YP.com (Yellow Pages)','Zillow','ZipRecruiter','AAMCO','Advance Auto Parts']",,
229,"['Arco','Armor All','AutoNation','AutoZone','BFGoodrich','BP']",,
230,"['Bridgestone','Caliber Collision','CarMax','Carquest','Carvana','Castrol']",,
231,"['Chevron','Citgo','ConocoPhillips','Continental','Cooper Tires','ExxonMobil']",,
232,"['Firestone','GMGoodwrench','Goodyear','Gulf','Jiffy Lube','Marathon']",,
233,"['Michelin','Midas','Mobil 1','Napa Auto Parts','O'Reilly Auto Parts','Pennzoil']",,
234,"['Pep Boys','Safelite','Shell','Sunoco','Valero','Valvoline']",,
235,"['Age Perfect','Almay','Aquaphor','Aveda','Aveeno','Aveeno Baby']",,
236,"['Avon','Baby Magic','Babyganics','Banana Boat','Bath & Body Works','Believe Beauty']",,
237,"['Biore','Boots No. 7','CeraVe','Cetaphil','Clarins','Clean & Clear']",,
238,"['Clearasil','Clinique','Col-Lab','Coppertone','Cover Girl','Desitin']",,
239,"['Differin','Dove','Dove Baby','Elizabeth Arden','Essie','Estee Lauder']",,
240,"['Eucerin','Exuviance','Flower Beauty','Fresh','Garnier','Glossier']",,
241,"['Gold Bond','Hawaiian Tropic','Jergens','Johnson's Baby','Kiehls','L'Occitane']",,
242,"['L'Oreal Paris','Lancome','Le Petit Marseillais','Lubriderm','Lush','MAC']",,
243,"['Maybelline','NeoStrata','Neutrogena','Nivea','NYX','OGX']",,
244,"['Olay','Origins','Oxy','Proactiv','Revitalift','Revlon']",,
245,"['Rimmel London','RoC','Sally Hansen','Sephora','Simple','Smashbox']",,
246,"['SoftSoap','St. Ives','StriVectin','The Body Shop','The Honest Company','True Match']",,
247,"['Ulta Beauty','Vaseline','Voluminous','Athenos Hummus','Baked Lay's','Beanitos']",,
248,"['Bear Naked','Bolthouse Dressings','Cape Cod','Cheese Nips','Cheetos','Cheez-Itz']",,
249,"['Chex Mix','Clif','Crunchmaster','Daiya Cheese Alternatives','DAVID Seeds','Doritos']",,
250,"['Emerald Nuts','Fiber One','Flat Earth','Food Should Taste Good','Fritos','GO Veggie! Cheese Alternatives']",,
251,"['Herr's','Jack Link's Beef Jerky','Ken's Dressing','Kettle Brand Chips','KIND','Larabar']",,
252,"['Lay's','Lay's Kettle Cooked','Luna','Marie's Dressing','Marzetti Refrigerated Dressings','Nature Valley']",,
253,"['Orville Redenbacher','Pirate's Booty','Pringles','Quest Nutrition','Ritz','Rold Gold']",,
254,"['Ruffles','Sabra Hummus','Smartfood','Snyder's','Stacy's','Sunchips']",,
255,"['Tessamae','Think Thin','Tostitos','Tribe Hummus','Triscuit','Utz']",,
256,"['Wheat Thins','Wise','Ace Hardware','American Signature Furniture','Art Van Furniture','Ashley']",,
257,"['Bath and Body Works','Bed Bath and Beyond','Benjamin Moore','Bob's Discount Furniture','Brookstone','Casper']",,
258,"['Crate & Barrel','Delta Faucet','Haverty's Furniture','Home Depot','Home Goods','IKEA']",,
